,stars,feedb,Бар или ресторан,Бассейн,Бесплатный интернет,Джакузи,Для гостей с ограниченными возможностями,Кондиционер,Конференц-зал,Кухня,Можно курить,Парковка,Пляж рядом,Подходит для детей,Разрешено с домашними животными,Спа-услуги,Трансфер,Фитнес,tv_bin,brekf_bin,fridge_bin,heat_bin,iron_bin,dist_city,num_rooms,perks_n,amenities_n,dist_sea,feedb_n
0,0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.803667217253917,4.30406509320417,0.0,0.0,0.0,1.9459101490553132
1,0,8.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,9.769956159911606,2.0794415416798357,1.6094379124341003,3.332204510175204,4.941642422609304,3.2188758248682006
2,0,9.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,10.094107912144779,2.9444389791664403,1.6094379124341003,3.6888794541139363,6.756932389247553,3.6109179126442243
3,0,7.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.825526011066415,3.58351893845611,1.6094379124341003,3.6635616461296463,5.703782474656201,2.302585092994046
4,0,8.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,9.893437216682626,2.4849066497880004,1.6094379124341003,3.713572066704308,6.813444599510896,1.3862943611198906
5,0,8.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.549609165154532,0.6931471805599453,1.6094379124341003,3.367295829986474,5.886104031450156,2.4849066497880004
6,0,8.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,9.711115659888671,2.302585092994046,1.6094379124341003,3.9512437185814275,5.19295685089021,0.0
7,2,7.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,9.72913416539135,3.6888794541139363,1.6094379124341003,4.2626798770413155,5.560681631015528,2.8903717578961645
8,0,6.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.8632667240095735,2.995732273553991,1.6094379124341003,3.1780538303479458,7.495541943884256,2.302585092994046
9,0,7.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.961756460660103,2.3978952727983707,1.0986122886681098,2.4849066497880004,5.703782474656201,4.02535169073515
