,web,dist_sea,dist_city,stars,feedb,price,feedb_n,num_rooms,pool,kids,anim,location,dist_sea_km,dist_city_km,perks_n,amenities_n,Бар или ресторан,Бассейн,Бесплатный интернет,Джакузи,Для гостей с ограниченными возможностями,Кондиционер,Конференц-зал,Кухня,Можно курить,Парковка,Пляж рядом,Подходит для детей,Разрешено с домашними животными,Спа-услуги,Трансфер,Фитнес,tv_bin,brekf_bin,fridge_bin,heat_bin,iron_bin,smokefree_bin,invalid_bin
1545,https://ostrovok.ru/hotel/russia/sochi/mid10000343/aidaida_guest_house/,0.0,18100.0,0,7.6,3148,7,74.0,0,0,0,sochi,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1546,https://ostrovok.ru/hotel/russia/sochi/mid10000344/gostevoj_dom_leo_grand/,140.0,17500.0,0,8.1,3148,25,8.0,0,1,0,sochi,0.0,1.0,5,28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
1565,https://ostrovok.ru/hotel/russia/sochi/mid10001686/fivestory_aparthotel/,860.0,24200.0,0,9.1,4733,37,19.0,1,1,1,sochi,0.0,1.0,5,40,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1567,https://ostrovok.ru/hotel/russia/sochi/mid10001720/edelveys_guest_house/,300.0,18500.0,0,7.8,3332,10,36.0,0,1,0,sochi,0.0,1.0,5,39,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1572,https://ostrovok.ru/hotel/russia/sochi/mid10001847/tihaya_gavan_6/,910.0,19800.0,0,8.7,2928,4,12.0,1,1,0,sochi,0.0,1.0,5,41,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
1573,https://ostrovok.ru/hotel/russia/sochi/mid10001849/svetlana_plyus_hotel/,360.0,1900.0,0,8.2,4500,12,2.0,0,0,0,sochi,0.0,1.0,5,29,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
1578,https://ostrovok.ru/hotel/russia/sochi/mid10001873/gostevoj_kompleks_dom_solntsa/,180.0,16500.0,0,8.5,1932,1,10.0,1,3,0,sochi,0.0,1.0,5,52,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1580,https://ostrovok.ru/hotel/russia/sochi/mid10001885/grand_crystal_group/,260.0,16800.0,2,7.7,3459,18,40.0,1,2,1,sochi,0.0,1.0,5,71,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
1601,https://ostrovok.ru/hotel/russia/sochi/mid10002573/staraya_dacha_hostel/,1800.0,2600.0,0,6.1,3148,10,20.0,1,0,0,sochi,1.0,1.0,5,24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
1638,https://ostrovok.ru/hotel/russia/sochi/mid10003628/terminal_adler_hostel_2/,300.0,21200.0,0,7.1,3290,56,11.0,0,0,0,sochi,0.0,1.0,3,12,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
